Iteration,Loss,SSIM,Reconstructed_Label
0,16545335.0,7.681728366391866e-07,1
1,16506774.0,3.107744987544877e-07,1
2,16497739.0,1.386535893414147e-07,1
3,16495238.0,6.853980052389882e-08,1
4,16495076.0,5.6774154327789375e-08,1
5,16495076.0,5.682849086523745e-08,1
6,16495076.0,5.677504909341074e-08,1
7,16495076.0,5.664650323969935e-08,1
8,16495076.0,5.6674782761490514e-08,1
9,16495076.0,5.6723287518887156e-08,1
10,16495076.0,5.668016523623833e-08,1
11,16495076.0,5.642104873539585e-08,1
12,16495076.0,5.65050560083468e-08,1
13,16495075.0,5.6141359398772065e-08,1
14,16495074.0,5.50031500321761e-08,1
15,16495074.0,5.414022495708805e-08,1
16,16495074.0,5.411549829154546e-08,1
17,16495072.0,5.1172040897617685e-08,1
18,16495069.0,4.6441475586976906e-08,1
19,16495067.0,4.453796098107296e-08,1
20,16495067.0,4.303164454174277e-08,1
21,16495067.0,4.344115417881541e-08,1
22,16495066.0,4.153716579597234e-08,1
23,16495059.0,3.1867339899071563e-08,1
24,16495059.0,3.221291780807629e-08,1
25,16495057.0,3.050499789102181e-08,1
26,16495047.0,2.301191853852908e-08,1
27,16495019.0,1.2944464269223482e-08,1
28,16495010.0,1.1112896353165947e-08,1
29,16494970.0,5.211432610696733e-09,1
30,16494930.0,2.0748266258220286e-09,1
31,16494918.0,1.8690789573136965e-09,1
32,16494913.0,1.6172649765947275e-09,1
33,16494873.0,7.017028961224004e-10,1
34,16494851.0,3.956442886372191e-10,1
35,16494845.0,3.5454826934716696e-10,1
36,16494843.0,3.205998422241471e-10,1
37,16494838.0,2.9481576642505567e-10,1
38,16494833.0,2.4468617365400435e-10,1
39,16494830.0,2.1565451350461777e-10,1
40,16494830.0,2.1385672548070416e-10,1
41,16494824.0,1.8652916659673163e-10,1
42,16494824.0,1.745817020052221e-10,1
43,16494821.0,1.6850788903406393e-10,1
44,16494821.0,1.6655814733273323e-10,1
45,16494821.0,1.6105546555703288e-10,1
46,16494817.0,1.3574633647509972e-10,1
47,16494813.0,1.2733986327103907e-10,1
48,16494813.0,1.24020503030729e-10,1
49,16494811.0,1.1522119968680742e-10,1
50,16494811.0,1.1332190049635444e-10,1
51,16494810.0,1.0777627481619065e-10,1
52,16494807.0,1.0155271676700113e-10,1
53,16494807.0,9.838906523559548e-11,1
54,16494805.0,9.584537821181996e-11,1
55,16494803.0,8.867796564603635e-11,1
56,16494803.0,8.561638051213319e-11,1
57,16494803.0,8.77871749690759e-11,1
58,16494801.0,7.898110453960937e-11,1
59,16494802.0,7.580441170090361e-11,1
60,16494802.0,7.662859185826157e-11,1
61,16494801.0,7.51947116515834e-11,1
62,16494801.0,7.143098720539051e-11,1
63,16494798.0,6.697110762970613e-11,1
64,16494798.0,6.552832717665364e-11,1
65,16494797.0,6.039348675775677e-11,1
66,16494797.0,5.908403239570276e-11,1
67,16494796.0,6.02284000588911e-11,1
68,16494792.0,5.235161754445123e-11,1
69,16494795.0,5.1031120319414945e-11,1
70,16494793.0,4.9130689687842406e-11,1
71,16494792.0,4.8450344493133044e-11,1
72,16494793.0,4.7577319159008576e-11,1
73,16494791.0,4.600671730981369e-11,1
74,16494791.0,4.5414028322130316e-11,1
75,16494791.0,4.535906078794868e-11,1
76,16494793.0,4.474851378752444e-11,1
77,16494791.0,4.397253478314668e-11,1
78,16494791.0,4.3845518966969263e-11,1
79,16494791.0,4.3664572941169646e-11,1
80,16494791.0,4.3285301589672096e-11,1
81,16494790.0,4.1620891672740097e-11,1
82,16494787.0,3.796498546268432e-11,1
83,16494789.0,3.705919806839282e-11,1
84,16494794.0,3.5424225959797473e-11,1
85,16494787.0,3.4887678359370445e-11,1
86,16494789.0,3.418051670867472e-11,1
87,16494787.0,3.407957739955802e-11,1
88,16494787.0,3.3196653763818215e-11,1
